condition,sex,subject,leg,fibre_area,circularity
Condition A,M,11,Left,1624.638,0.885356846
Condition A,M,11,Left,4058.873,0.941821701
Condition A,M,11,Left,1966.442,0.718837339
Condition A,M,11,Left,1063.131,0.84831799
Condition A,M,11,Left,604.67,0.861278929
Condition A,M,11,Left,602.726,0.744790418
Condition A,M,11,Left,4750.258,0.80820366
Condition A,M,11,Left,1927.945,0.754264376
Condition A,M,11,Left,623.335,0.609944202
Condition A,M,11,Left,2718.877,0.783326125
Condition A,M,11,Left,1081.407,0.826547683
Condition A,M,11,Left,1135.069,0.894905515
Condition A,M,11,Left,1466.374,0.922109698
Condition A,M,11,Left,2468.843,0.906466517
Condition A,M,11,Left,2441.235,0.855312186
Condition A,M,11,Left,3671.184,0.887857089
Condition A,M,11,Left,3703.071,0.831485042
Condition A,M,11,Left,1399.102,0.746642397
Condition A,M,11,Left,2462.233,0.892108317
Condition A,M,11,Left,1344.662,0.804484305
Condition A,M,11,Left,1479.984,0.752564048
Condition A,M,11,Left,880.758,0.715244926
Condition A,M,11,Left,2662.105,0.882704326
Condition A,M,11,Left,1443.431,0.630708169
Condition A,M,11,Left,1576.809,0.744392501
Condition A,M,11,Left,1773.181,0.86553956
Condition A,M,11,Left,2389.517,0.87136777
Condition A,M,11,Left,496.957,0.642153298
Condition A,M,11,Left,1572.92,0.718914119
Condition A,M,11,Left,2299.302,0.830629702
Condition A,M,11,Left,784.321,0.722309646
Condition A,M,11,Left,3218.557,0.81905208
Condition A,M,11,Left,1884.005,0.757998561
Condition A,M,11,Left,1042.133,0.752121926
Condition A,M,11,Left,593.393,0.910642461
Condition A,M,11,Left,1284.001,0.664429839
Condition A,M,11,Left,2722.766,0.900457825
Condition A,M,11,Left,2163.981,0.876027152
Condition A,M,11,Left,2046.546,0.97604344
Condition A,M,11,Left,758.268,0.79417088
Condition A,M,11,Left,621.002,0.930908394
Condition A,M,11,Left,1413.878,0.70328547
Condition A,M,11,Left,1286.334,0.678683009
Condition A,M,11,Left,1037.855,0.690139409
Condition A,M,11,Left,705.773,0.670907757
Condition A,M,11,Left,612.836,0.692597796
Condition A,M,11,Left,916.921,0.837642766
Condition A,M,11,Left,2487.897,0.837289893
Condition A,M,11,Left,736.103,0.814192628
Condition A,M,11,Left,857.426,0.788810625
Condition A,M,11,Left,1710.186,0.827142579
Condition A,M,11,Left,771.878,0.806245079
Condition A,M,11,Left,2731.71,0.922779172
Condition A,M,11,Left,994.303,0.602446439
Condition A,M,11,Left,2080.766,0.799505941
Condition A,M,11,Left,432.018,0.689661926
Condition A,M,11,Left,663.387,0.636258743
Condition A,M,11,Left,2056.268,0.894642998
Condition A,M,11,Left,2495.674,0.710820942
Condition A,M,11,Left,3918.885,0.747898885
Condition A,M,11,Left,2338.188,0.775004867
Condition A,M,11,Left,2145.704,0.680659296
Condition A,M,11,Left,2127.817,0.772635566
Condition A,M,11,Left,1887.504,0.689594505
Condition A,M,11,Left,1656.524,0.852793112
Condition A,M,11,Left,1012.58,0.693013029
Condition A,M,11,Right,1446.153,0.818746635
Condition A,M,11,Right,1151.012,0.833035655
Condition A,M,11,Right,1196.119,0.797734075
Condition A,M,11,Right,1220.617,0.816938806
Condition A,M,11,Right,1253.67,0.794242139
Condition A,M,11,Right,1168.9,0.756024907
Condition A,M,11,Right,1323.664,0.864812771
Condition A,M,11,Right,1651.469,0.694429589
Condition A,M,11,Right,1213.618,0.885347021
Condition A,M,11,Right,925.087,0.893099198
Condition A,M,11,Right,1292.556,0.895088742
Condition A,M,11,Right,1640.192,0.851904285
Condition A,M,11,Right,910.311,0.828620107
Condition A,M,11,Right,1021.912,0.851834639
Condition A,M,11,Right,1037.078,0.839298846
Condition A,M,11,Right,1452.764,0.797353898
Condition A,M,11,Right,1486.983,0.812929891
Condition A,M,11,Right,928.976,0.736274419
Condition A,M,11,Right,2135.594,0.933622673
Condition A,M,11,Right,1123.015,0.823160221
Condition A,M,11,Right,1008.302,0.762443611
Condition A,M,11,Right,1368.382,0.834713031
Condition A,M,11,Right,587.949,0.875155618
Condition A,M,11,Right,973.305,0.931874128
Condition A,M,11,Right,373.301,0.823255972
Condition A,M,11,Right,1019.19,0.908513267
Condition A,M,11,Right,1545.7,0.922239633
Condition A,M,11,Right,1003.247,0.856017057
Condition A,M,11,Right,774.211,0.75384913
Condition A,M,11,Right,988.082,0.892092876
Condition A,M,11,Right,1112.127,0.834763479
Condition A,M,11,Right,837.595,0.66156676699999994
Condition A,M,11,Right,732.993,0.810007781
Condition A,M,11,Right,1277.779,0.668465612
Condition A,M,11,Right,1044.855,0.903690112
Condition A,M,11,Right,1258.336,0.825019515
Condition A,M,11,Right,1323.664,0.817233234
Condition A,M,11,Right,1232.672,0.823059688
Condition A,M,11,Right,926.254,0.775314184
Condition A,M,11,Right,1073.241,0.766859075
Condition A,M,11,Right,739.992,0.870400394
Condition A,M,11,Right,1495.149,0.936358679
Condition A,M,11,Right,1070.13,0.682832173
Condition A,M,11,Right,774.211,0.835644489
Condition A,M,11,Right,1061.575,0.876154649
Condition A,M,11,Right,1130.014,0.797914207
Condition A,M,11,Right,1637.082,0.686766094
Condition A,M,11,Right,1011.024,0.892388305
Condition A,M,11,Right,1292.944,0.66525269
Condition A,M,11,Right,920.421,0.871053665
Condition A,M,11,Right,1814.4,0.790368592
Condition A,M,11,Right,1155.29,0.837911408
Condition A,M,11,Right,2174.48,0.827678626
Condition A,M,11,Right,758.657,0.71905134
Condition A,M,11,Right,510.178,0.693660055
Condition A,M,11,Right,1063.52,0.684650738
Condition A,M,11,Right,920.421,0.90744178
Condition A,M,11,Right,849.649,0.891342788
Condition A,M,11,Right,808.819,0.85090211
Condition A,M,11,Right,1639.804,0.665943779
Condition A,M,11,Right,1320.942,0.692985385
Condition A,M,11,Right,953.862,0.710249293
Condition A,M,11,Right,503.568,0.608975758
Condition A,M,11,Right,953.085,0.761854714
Condition A,M,11,Right,1039.022,0.715485958
Condition A,M,11,Right,1074.408,0.885654834
Condition A,M,11,Right,1211.285,0.869240389
Condition A,M,11,Right,1256.392,0.812858178
Condition A,M,11,Right,1909.669,0.674224766
Condition A,M,11,Right,1607.14,0.771119992
Condition A,M,11,Right,1840.842,0.706638351
Condition A,M,11,Right,1011.413,0.785484659
Condition A,M,11,Right,1252.892,0.733209282
Condition A,M,11,Right,634.223,0.834417196
Condition A,M,11,Right,1275.446,0.81101818
Condition A,M,11,Right,1045.632,0.787881826
Condition A,M,11,Right,918.865,0.863291551
