Condition,Sex,Subject,Leg,Fibre_Area,Circularity
Condition A,M,11,R,1344.662,0.828384816
Condition A,M,11,R,1256.392,0.885623407
Condition A,M,11,R,1553.866,0.850335763
Condition A,M,11,R,2078.432,0.849679399
Condition A,M,11,R,1636.304,0.763905699
Condition A,M,11,R,1378.881,0.903453548
Condition A,M,11,R,1518.092,0.738829917
Condition A,M,11,R,2011.549,0.815522369
Condition A,M,11,R,1710.575,0.944288302
Condition A,M,11,R,797.931,0.791199853
Condition A,M,11,R,950.752,0.763090632
Condition A,M,11,R,962.417,0.764453321
Condition A,M,11,R,2303.58,0.789865477
Condition A,M,11,R,841.872,0.684513596
Condition A,M,11,R,1730.018,0.832287928
Condition A,M,11,R,1060.798,0.751449073
Condition A,M,11,R,526.51,0.776992355
Condition A,M,11,R,1013.357,0.574989975
Condition A,M,11,R,1247.059,0.752556924
Condition A,M,11,R,608.948,0.633851311
Condition B,M,20,L,2472.732,0.82328312
Condition B,M,20,L,2586.667,0.85331033
Condition B,M,20,L,921.587,0.786315025
Condition B,M,20,L,2988.354,0.837075987
Condition B,M,20,L,2182.646,0.769646682
Condition B,M,20,L,4118.757,0.905187788
Condition B,M,20,L,1459.763,0.848565196
Condition B,M,20,L,4433.73,0.853629632
Condition B,M,20,L,4242.024,0.849774761
Condition B,M,20,L,2009.216,0.919102132
Condition B,M,20,L,1663.135,0.92374864
Condition B,M,20,L,1240.449,0.794859505
Condition B,M,20,L,2316.023,0.848182162
Condition B,M,20,L,1959.054,0.918170386
Condition B,M,20,L,3028.795,0.869083066
Condition B,M,20,L,5453.309,0.821894709
Condition B,M,20,L,1501.371,0.853821207
Condition B,M,20,L,2128.595,0.838377566
Condition B,M,20,L,1730.407,0.817776191
Condition B,M,20,L,953.862,0.674501949
Condition B,M,20,L,848.871,0.851575875
Condition B,M,20,L,2389.906,0.787674628
Condition B,M,20,L,831.762,0.963705423
Condition B,M,20,L,807.264,0.910137304
Condition B,M,20,L,3340.268,0.740288856
Condition B,M,20,L,1702.02,0.741336308
Condition B,M,20,L,2237.085,0.805266855
Condition B,M,20,L,1630.471,0.869128583
Condition B,M,20,L,3292.828,0.899909965
Condition B,M,20,L,3999.767,0.85758672
Condition B,M,20,L,4609.493,0.660608362
Condition B,M,20,L,4085.704,0.790946166
Condition B,M,20,L,3385.376,0.886603308
Condition B,M,20,L,790.932,0.84819643
Condition B,M,20,L,3313.437,0.906116887
Condition B,M,20,L,2736.376,0.702574919
Condition B,M,20,L,3075.069,0.777010011
Condition B,M,20,L,756.324,0.701031999
Condition B,M,20,L,3528.863,0.821151226
Condition B,M,20,L,3150.507,0.68071756
Condition B,M,20,L,2740.653,0.83777883
Condition B,M,20,L,1920.946,0.886139723
Condition B,M,20,L,1803.512,0.757389508
Condition B,M,20,L,3630.743,0.751139882
Condition B,M,20,L,1464.43,0.927502246
Condition B,M,20,L,1852.119,0.805669951
Condition B,M,20,L,2065.6,0.851441475
Condition B,M,20,L,2076.099,0.765100115
Condition B,M,20,L,4086.093,0.779123305
Condition B,M,20,L,3695.293,0.718782272
Condition B,M,20,L,1551.533,0.77286553
Condition B,M,20,L,1796.123,0.816168764
Condition B,M,20,L,2606.887,0.878853855
Condition B,M,20,L,4817.53,0.812535898
Condition B,M,20,L,3328.214,0.885525174
Condition B,M,20,L,2386.017,0.66504642
Condition B,M,20,L,1644.081,0.809682319
Condition B,M,20,L,2264.305,0.85692865
Condition B,M,20,L,1165.4,0.856712645
Condition B,M,20,L,2135.594,0.867694396
Condition B,M,20,L,974.472,0.617080358
Condition B,M,20,L,3635.799,0.778210816
Condition B,M,20,L,1214.007,0.827873848
Condition B,M,20,L,2665.993,0.827915017
Condition B,M,20,L,3524.975,0.831335104
Condition B,M,20,L,1966.442,0.88878886
Condition B,M,20,L,4805.865,0.91876348
Condition B,M,20,L,2391.85,0.769934581
Condition B,M,20,L,2282.193,0.812382544
Condition B,M,20,L,1439.543,0.816439521
Condition B,M,20,L,970.583,0.964484756
Condition B,M,20,L,1754.905,0.85531731
Condition B,M,20,L,1756.849,0.801519645
Condition B,M,20,L,2465.344,0.873547054
Condition B,M,20,L,2951.413,0.785589249
Condition B,M,20,L,712.772,0.784480902
Condition B,M,20,L,1095.406,0.954557027
Condition B,M,20,L,905.256,0.773272914
Condition B,M,20,L,2735.987,0.809314222
Condition B,M,20,L,3481.034,0.941895475
Condition B,M,20,L,1528.98,0.810893103
Condition B,M,20,L,3206.113,0.85817193
Condition B,M,20,L,1681.8,0.598370166
Condition B,M,20,L,2081.154,0.803587221
Condition B,M,20,L,3131.064,0.835167185
Condition B,M,20,L,2678.048,0.870792457
Condition B,M,20,L,2870.531,0.914305803
Condition B,M,20,L,2531.449,0.767651823
Condition B,M,20,L,1084.907,0.925998364
Condition B,M,20,L,4472.616,0.828717794
Condition B,M,20,L,2647.717,0.635076972
Condition B,M,20,L,1504.093,0.739184906
Condition B,M,20,L,2713.822,0.666265474
Condition B,M,20,L,3409.485,0.798580543
Condition B,M,20,L,2531.06,0.865530659
Condition B,M,20,L,2368.519,0.918799198
Condition B,M,20,L,1787.569,0.65950433
Condition B,M,20,L,2083.099,0.843533285
Condition B,M,20,L,765.656,0.885887583
Condition B,M,20,L,1500.982,0.784727071
Condition B,M,20,L,2895.029,0.844387365
Condition B,M,20,L,4273.522,0.857110882
Condition B,M,20,L,1848.619,0.791468083
Condition B,M,20,L,1531.702,0.784902211
Condition B,M,20,L,1269.613,0.789296669
Condition B,M,20,L,896.701,0.848679551
Condition B,M,20,L,2195.478,0.908314038
Condition B,M,20,L,850.038,0.803622556
Condition B,M,20,L,830.984,0.889717519
Condition B,M,20,L,1216.729,0.922036329
Condition B,M,20,L,893.59,0.86423595
Condition B,M,20,L,666.498,0.86596466
Condition B,M,20,L,1830.732,0.927233303
Condition B,M,20,L,694.107,0.922942804
Condition B,M,20,L,2234.752,0.873993215
Condition B,M,20,L,4152.976,0.93018506
Condition B,M,20,L,1708.242,0.931813073
Condition B,M,20,L,2943.636,0.861849872
Condition B,M,20,L,1124.959,0.831046603
Condition B,M,20,L,925.476,0.718269773
Condition B,M,20,L,1124.959,0.843208696
Condition B,M,20,L,2419.07,0.820747673
Condition B,M,20,L,1798.845,0.878822591
Condition B,M,20,L,1602.473,0.808561824
Condition B,M,20,L,1633.193,0.906009411
Condition B,M,20,L,1307.332,0.876843306
Condition B,M,20,L,3099.567,0.785149483
Condition B,M,20,L,1383.937,0.742444054
Condition B,M,20,L,3504.754,0.859860336
Condition B,M,20,L,2547.003,0.943632488
Condition B,M,20,L,815.041,0.910434481
Condition B,M,20,L,1702.798,0.889928317
Condition B,M,20,L,1775.903,0.821399281
Condition B,M,20,L,2879.086,0.848339169
Condition B,M,20,L,2360.353,0.753118045
Condition B,M,20,L,2228.531,0.748830699
Condition B,M,20,L,1398.713,0.782939326
Condition B,M,20,L,3851.613,0.893905739
Condition B,M,20,L,2090.876,0.940298632
Condition B,M,20,L,2195.478,0.835395267
Condition B,M,20,L,1916.669,0.839221001
Condition B,M,20,L,1815.177,0.738827159
Condition B,M,20,L,1371.493,0.692656622
Condition B,M,20,L,1318.609,0.791757439
Condition B,M,20,L,1491.65,0.810619187
Condition B,M,20,R,1770.07,0.853699638
Condition B,M,20,R,1808.178,0.87386466
Condition B,M,20,R,1334.552,0.890384244
Condition B,M,20,R,1126.903,0.836531433
Condition B,M,20,R,2726.266,0.875021138
Condition B,M,20,R,781.988,0.919192495
Condition B,M,20,R,859.759,0.812544911
Condition B,M,20,R,816.985,0.861462433
Condition B,M,20,R,2274.804,0.822555764
Condition B,M,20,R,2113.818,0.912858229
Condition B,M,20,R,1457.819,0.878403578
Condition B,M,20,R,1637.082,0.886129218
Condition B,M,20,R,1094.239,0.832533281
Condition B,M,20,R,2319.134,0.840604159
Condition B,M,20,R,1424.766,0.865641894
Condition B,M,20,R,1840.842,0.753375545
Condition B,M,20,R,1475.706,0.830653935
Condition B,M,20,R,1344.273,0.913635117
Condition B,M,20,R,1255.614,0.830525725
Condition B,M,20,R,843.816,0.666808093
Condition B,M,20,R,1754.905,0.73237172
Condition B,M,20,R,1654.58,0.928329953
Condition B,M,20,R,864.815,0.94674539
Condition B,M,20,R,912.644,0.923389805
Condition B,M,20,R,1332.219,0.774391833
Condition B,M,20,R,881.535,0.678587755
Condition B,M,20,R,848.483,0.883182245
Condition B,M,20,R,1622.694,0.866664318
Condition B,M,20,R,1023.856,0.775383483
Condition B,M,20,R,2027.881,0.869120129
Condition B,M,20,R,1004.803,0.826737314
Condition B,M,20,R,1182.509,0.903512514
Condition B,M,20,R,2536.115,0.852158595
Condition B,M,20,R,859.759,0.93276377
Condition B,M,20,R,1509.148,0.844710982
Condition B,M,20,R,2485.564,0.840492997
Condition B,M,20,R,1060.798,0.940005108
Condition B,M,20,R,1088.795,0.962484935
Condition B,M,20,R,1477.651,0.699552197
Condition B,M,20,R,1030.467,0.813337411
Condition B,M,20,R,1915.502,0.844392586
Condition B,M,20,R,1175.121,0.771284481
Condition B,M,20,R,987.693,0.834159104
Condition B,M,20,R,2366.186,0.886414461
Condition B,M,20,R,2902.028,0.823200965
Condition B,M,20,R,2062.878,0.831498293
Condition B,M,20,R,1122.237,0.833144572
Condition B,M,20,R,2412.459,0.71475748
Condition B,M,20,R,2623.608,0.833557602
Condition B,M,20,R,1000.136,0.938218881
Condition B,M,20,R,921.199,0.749543683
Condition B,M,20,R,1976.941,0.866480622
Condition B,M,20,R,1835.398,0.743001085
Condition B,M,20,R,1578.753,0.922018922
Condition B,M,20,R,2807.536,0.905227404
Condition B,M,20,R,2486.342,0.788241014
Condition B,M,20,R,1245.115,0.890406009
Condition B,M,20,R,636.945,0.774444382
Condition B,M,20,R,1081.018,0.923120203
Condition B,M,20,R,1741.684,0.815346936
Condition B,M,20,R,2458.733,0.869495393
Condition B,M,20,R,1413.878,0.839741683
Condition B,M,20,R,1033.967,0.725464639
Condition B,M,20,R,2388.35,0.863372482
Condition B,M,20,R,1315.887,0.756980016
Condition B,M,20,R,1927.945,0.873934472
Condition B,M,20,R,2144.927,0.913715564
Condition B,M,20,R,1086.073,0.923656344
Condition B,M,20,R,1205.063,0.924591175
Condition B,M,20,R,1697.743,0.724831283
Condition B,M,20,R,1810.122,0.873471097
Condition B,M,20,R,743.881,0.863474953
Condition B,M,20,R,1780.958,0.871376566
Condition B,M,20,R,2446.29,0.860296432
Condition B,M,20,R,1463.652,0.904765311
Condition B,M,20,R,822.429,0.780293568
Condition B,M,20,R,804.153,0.786253214
Condition B,M,20,R,2538.837,0.89290893
Condition B,M,20,R,2029.437,0.949996812
Condition B,M,20,R,1160.345,0.897334966
Condition B,M,20,R,2667.16,0.816295137
Condition B,M,20,R,747.38,0.884868171
Condition B,M,20,R,3163.728,0.838778746
Condition B,M,20,R,1467.152,0.946998797
Condition B,M,20,R,2672.992,0.861872885
Condition B,M,20,R,1661.968,0.882982758
Condition B,M,20,R,1298.388,0.92077619
Condition B,M,20,R,825.929,0.827865314
Condition B,M,20,R,1189.898,0.782985206
Condition B,M,20,R,1184.843,0.749615628
Condition B,M,20,R,848.483,0.909023828
Condition B,M,20,R,1656.913,0.790481722
Condition B,M,20,R,2270.138,0.930915364
Condition B,M,20,R,854.704,0.918655158
Condition B,M,20,R,2946.747,0.644896697
Condition B,M,20,R,1399.491,0.870884723
Condition B,M,20,R,1557.366,0.84544195
Condition B,M,20,R,1516.147,0.72328037
Condition B,M,20,R,2231.253,0.786653173
Condition B,M,20,R,3616.356,0.846544717
Condition B,M,20,R,832.54,0.753358954
Condition B,M,20,R,1003.636,0.872362569
Condition B,M,20,R,2355.298,0.804159041
Condition B,M,20,R,3353.878,0.825950747
Condition B,M,20,R,1651.858,0.822384736
Condition B,M,20,R,2028.659,0.960788786
Condition B,M,20,R,1339.218,0.823554162
Condition B,M,20,R,2828.924,0.90666839
Condition B,M,20,R,1135.847,0.9199404
Condition B,M,20,R,1958.665,0.879588542
Condition B,M,20,R,1217.118,0.890109882
Condition B,M,20,R,734.159,0.805439531
Condition B,M,20,R,2085.043,0.91409856
Condition B,M,20,R,1466.763,0.863015897
Condition B,M,20,R,1126.514,0.825245874
Condition B,M,20,R,1016.079,0.875501198
Condition B,M,20,R,789.377,0.870780119
Condition B,M,20,R,981.86,0.892213746
Condition B,M,20,R,1114.46,0.671662676
Condition B,M,20,R,1013.357,0.844524606
Condition B,M,20,R,1364.883,0.816469446
Condition B,M,20,R,1343.884,0.857620052
Condition B,M,20,R,1112.904,0.931639453
Condition B,M,20,R,915.755,0.868159146
Condition B,M,20,R,1520.036,0.84389738
Condition B,M,22,L,2038.769,0.883698481
Condition B,M,22,L,1010.247,0.850569286
Condition B,M,22,L,1744.017,0.863607127
Condition B,M,22,L,1306.943,0.885435407
Condition B,M,22,L,771.1,0.924292947
Condition B,M,22,L,932.864,0.944644497
Condition B,M,22,L,715.105,0.895911194
Condition B,M,22,L,2414.404,0.867478577
Condition B,M,22,L,2206.366,0.905033206
Condition B,M,22,L,1735.073,0.920110645
Condition B,M,22,L,1479.984,0.87481294
Condition B,M,22,L,1198.841,0.886658869
Condition B,M,22,L,836.039,0.820118368
Condition B,M,22,L,1018.024,0.820963954
Condition B,M,22,L,1778.236,0.856968994
Condition B,M,22,L,1028.912,0.879103245
Condition B,M,22,L,836.039,0.938467892
Condition B,M,22,L,720.16,0.885332806
Condition B,M,22,L,2403.127,0.915384163
Condition B,M,22,L,1394.436,0.802166284
Condition B,M,22,L,591.838,0.862188544
Condition B,M,22,L,645.889,0.792693877
Condition B,M,22,L,1162.678,0.770808225
Condition B,M,22,L,2522.117,0.789927761
Condition B,M,22,L,1612.972,0.791069876
Condition B,M,22,L,1128.459,0.899184473
Condition B,M,22,L,1470.651,0.849823561
Condition B,M,22,L,594.56,0.890220305
Condition B,M,22,L,1749.072,0.787620448
Condition B,M,22,L,827.484,0.905151032
Condition B,M,22,L,823.207,0.820601386
Condition B,M,22,L,1701.243,0.926224685
Condition B,M,22,L,1258.725,0.859089933
Condition B,M,22,L,2855.366,0.917142891
Condition B,M,22,L,552.952,0.639831617
Condition B,M,22,L,1754.127,0.840409244
Condition B,M,22,L,1900.337,0.942137463
Condition B,M,22,L,1270.78,0.890821326
